2019-01-01,河名,站名,水位,流量,含沙量
2019-01-01,黄河                          ,唐乃亥                        ,2670.79,275,-
2019-01-01,黄河                          ,龙羊峡入库,-,327,-
2019-01-01,黄河                          ,龙羊峡蓄水量,2597.92,(239)亿,-
2019-01-01,黄河                          ,龙羊峡出库,-,621,-
2019-01-01,黄河                          ,刘家峡入库,-,810,-
2019-01-01,黄河                          ,刘家峡蓄水量,1728.26,(31.5)亿,-
2019-01-01,黄河                          ,刘家峡出库,-,569,-
2019-01-01,黄河                          ,兰州                          ,1510.56,553,-
2019-01-01,黄河                          ,下河沿                        ,1229.59,725,-
2019-01-01,黄河                          ,石嘴山                        ,1088.15,520,-
2019-01-01,黄河                          ,巴彦高勒                      ,1052.23,515,-
2019-01-01,黄河                          ,三湖河口                      ,1018.3,565,-
2019-01-01,黄河                          ,包头                          ,1002.92,588,-
2019-01-01,黄河                          ,头道拐                        ,987.94,602,-
2019-01-01,黄河                          ,万家寨蓄水量,968.35,(3.13)亿,-
2019-01-01,黄河                          ,万家寨上出库,-,1000,-
2019-01-01,黄河                          ,万家寨下                      ,899.67,1000,-
2019-01-01,黄河                          ,府谷                          ,807.43,384,-
2019-01-01,黄河                          ,吴堡                          ,636.36,690,-
2019-01-01,黄河                          ,龙门                          ,377.62,435,-
2019-01-01,汾河                          ,河津                          ,370.67,15.3,-
2019-01-01,北洛河                        ,状头                          ,361.42,2.87,-
2019-01-01,泾河                          ,张家山                        ,420.27,2.66,-
2019-01-01,渭河                          ,咸阳                          ,380.34,58.7,-
2019-01-01,渭河                          ,华县                          ,334.5,105,-
2019-01-01,黄河                          ,潼关                          ,325.85,578,-
2019-01-01,黄河                          ,史家滩蓄水量,317.25,(4.37)亿,-
2019-01-01,黄河                          ,三门峡                        ,273.28,431,-
2019-01-01,黄河                          ,小浪底上蓄水量,266.63,(71.4)亿,-
2019-01-01,黄河                          ,小浪底                        ,133.54,341,*299
2019-01-01,伊河                          ,东湾                          ,-,-,-
2019-01-01,伊河                          ,陆浑坝上蓄水量,311.43,(3.78)亿,-
2019-01-01,伊河                          ,陆浑坝上出库,-,-,-
2019-01-01,伊河                          ,龙门镇                        ,147.43,12.1,-
2019-01-01,洛河                          ,卢氏                          ,-,-,-
2019-01-01,洛河                          ,故县水库蓄水量,520.55,(4.13)亿,-
2019-01-01,洛河                          ,故县水库出库,-,-,-
2019-01-01,洛河                          ,长水（二）                    ,377.74,0.350,-
2019-01-01,洛河                          ,白马寺                        ,112.89,9.20,-
2019-01-01,伊洛河                        ,黑石关                        ,104.38,13.1,-
2019-01-01,丹河                          ,山路坪                        ,-,-,-
2019-01-01,沁河                          ,五龙口                        ,-,-,-
2019-01-01,沁河                          ,武陟                          ,98.3,2.50,-
2019-01-01,黄河                          ,花园口                        ,88.2,481,*1.27
2019-01-01,黄河                          ,夹河滩                        ,71.12,465,*2
2019-01-01,黄河                          ,高村                          ,57.12,370,*3.84
2019-01-01,黄河                          ,孙口                          ,42.49,380,*3.70
2019-01-01,大汶河                        ,戴村坝,-,-,-
2019-01-01,东平湖                        ,东平湖老湖蓄水量,42.27,(4.53)亿,-
2019-01-01,大汶河                        ,出湖闸,-,-,-
2019-01-01,黄河                          ,艾山                          ,35.57,354,*3.23
2019-01-01,黄河                          ,泺口                          ,24.15,349,*4.06
2019-01-01,黄河                          ,利津                          ,8.52,272,*4.25
2019-01-02,黄河                          ,唐乃亥                        ,2670.82,282,-
2019-01-02,黄河                          ,龙羊峡入库,-,287,-
2019-01-02,黄河                          ,龙羊峡蓄水量,2597.86,(239)亿,-
2019-01-02,黄河                          ,龙羊峡出库,-,545,-
2019-01-02,黄河                          ,刘家峡入库,-,977,-
2019-01-02,黄河                          ,刘家峡蓄水量,1728.48,(31.7)亿,-
2019-01-02,黄河                          ,刘家峡出库,-,521,-
2019-01-02,黄河                          ,兰州                          ,1510.47,513,-
2019-01-02,黄河                          ,下河沿                        ,1229.6,730,-
2019-01-02,黄河                          ,石嘴山                        ,1088.14,521,-
2019-01-02,黄河                          ,巴彦高勒                      ,1052.08,476,-
2019-01-02,黄河                          ,三湖河口                      ,1018.35,564,-
2019-01-02,黄河                          ,包头                          ,1002.87,582,-
2019-01-02,黄河                          ,头道拐                        ,987.94,595,-
2019-01-02,黄河                          ,万家寨蓄水量,969.38,(3.32)亿,-
2019-01-02,黄河                          ,万家寨上出库,-,720,-
2019-01-02,黄河                          ,万家寨下                      ,899.29,720,-
2019-01-02,黄河                          ,府谷                          ,807.33,357,-
2019-01-02,黄河                          ,吴堡                          ,636.01,490,-
2019-01-02,黄河                          ,龙门                          ,377.4,365,-
2019-01-02,汾河                          ,河津                          ,370.9,21.8,-
2019-01-02,北洛河                        ,状头                          ,361.42,2.87,-
2019-01-02,泾河                          ,张家山                        ,420.27,2.66,-
2019-01-02,渭河                          ,咸阳                          ,380.33,57.2,-
2019-01-02,渭河                          ,华县                          ,334.62,119,-
2019-01-02,黄河                          ,潼关                          ,325.82,540,-
2019-01-02,黄河                          ,史家滩蓄水量,316.95,(4.16)亿,-
2019-01-02,黄河                          ,三门峡                        ,273.58,562,-
2019-01-02,黄河                          ,小浪底上蓄水量,266.76,(71.7)亿,-
2019-01-02,黄河                          ,小浪底                        ,133.62,403,*299
2019-01-02,伊河                          ,东湾                          ,-,-,-
2019-01-02,伊河                          ,陆浑坝上蓄水量,311.43,(3.78)亿,-
2019-01-02,伊河                          ,陆浑坝上出库,-,-,-
2019-01-02,伊河                          ,龙门镇                        ,147.56,19.4,-
2019-01-02,洛河                          ,卢氏                          ,-,-,-
2019-01-02,洛河                          ,故县水库蓄水量,520.59,(4.14)亿,-
2019-01-02,洛河                          ,故县水库出库,-,-,-
2019-01-02,洛河                          ,长水（二）                    ,377.74,0.350,-
2019-01-02,洛河                          ,白马寺                        ,112.86,22.8,-
2019-01-02,伊洛河                        ,黑石关                        ,104.91,43,-
2019-01-02,丹河                          ,山路坪                        ,-,-,-
2019-01-02,沁河                          ,五龙口                        ,-,-,-
2019-01-02,沁河                          ,武陟                          ,98.3,2.50,-
2019-01-02,黄河                          ,花园口                        ,88.17,464,*1.27
2019-01-02,黄河                          ,夹河滩                        ,71.12,450,*2
2019-01-02,黄河                          ,高村                          ,57.1,360,*3.84
2019-01-02,黄河                          ,孙口                          ,42.46,365,*3.70
2019-01-02,大汶河                        ,戴村坝,-,-,-
2019-01-02,东平湖                        ,东平湖老湖蓄水量,42.25,(4.50)亿,-
2019-01-02,大汶河                        ,出湖闸,-,-,-
2019-01-02,黄河                          ,艾山                          ,35.57,342,*3.23
2019-01-02,黄河                          ,泺口                          ,24.14,340,*4.06
2019-01-02,黄河                          ,利津                          ,8.58,284,*4.25
